Item	Descrição do Item	Tipo
10108	CREMALHEIRA MAT ALUM PASSO M4 TIPO PERPENDICULAR DIM 3,3X150CM ALT 6,8CM	uso e consumo
10109	CONTROLADOR TEMPERATURA DIGITAL FORM RETANG C/DISPLAY 4 DIG TENS 240VCA SAID RELE PROT IP54 DIM 48X58X108MM FIX PAINEL	uso e consumo
10110	FILTRO TIPO COADOR NY M-48 300X800MM TIPO FLUIDO RESINA	uso e consumo
10111	FILTRO TIPO COADOR NY M-48 375X780MM TIPO FLUIDO RESINA	uso e consumo
10112	FITA ISOLANTE ELETRICA TENS ISOL 69000V TIPO AUTOFUSAO MAT BORR LARG 19MM ESP 0,76MM COMP 10M COR PT	uso e consumo
10120	OCULOS SEG LENTE PC ANTIRISCO MULTIFOCAL CURVA INC ARMACAO PC INC/PT FIXACAO OCULOS HASTE REG TAM ARO 50 C/GRAU GRADUADO	uso e consumo
10121	SIFAO SANFONADO MAT POLIPROPILENO COR BR DIAM ENTR 7/8POL DIAM SAID 50MM	uso e consumo
10122	TINTA ESMALTE LIQUIDA BASE OLEO IMPERMEAVEL BICOMPONENTE COR VM ACAB BRILHANTE LATA 3,6L	uso e consumo
10123	TINTA ESMALTE LIQUIDA BASE OLEO IMPERMEAVEL BICOMPONENTE COR AM ACAB BRILHANTE LATA 3,6L	uso e consumo
10124	VASSOURA TIPO GARI PESADA DIM BASE 370X185MM MAT CERDAS SINTETICAS C/CABO COMP CABO 1,3M	uso e consumo
10125	VASSOURA LIMPEZA PESADA DIM BASE 45X290MM MAT CERDAS SINTETICAS C/CABO COMP CABO 1,3M	uso e consumo
10126	VASSOURA PARA CANTOS DIM BASE 40X250MM MAT CERDAS SINTETICAS C/CABO COMP CABO 1,3M	uso e consumo
10145	PAPEL HIGIENICO FOLHA SIMPLES COR BR PT C/4 RL 30M	uso e consumo
10146	MANGUEIRA HID DIAM 9,5MM DE 17MM COMP 300MM PRESS 300PSI TEMP 100°C TUBO INT/COB BORR SINT FIO ACO NORM SAE 100	uso e consumo
10147	TERMINAL MACHO FIXO FORM MONT PRE PRENSADO MAT AC CARB DIAM/ROSCA 11/16POL DIAM MANGUEIRA 3/8POL	uso e consumo
10148	TERMINAL FEMEA FORM MONT GIRATORIO MAT ACO CARBONO DIAM/ROSCA 13/16POL DIAM MANGUEIRA 3/8 POL	uso e consumo
10149	AVENTAL SEGURANCA MAT PVC COR PT DIM 1,2X0,7CM S/MANGAS FORRO POLIESTER S/BOLSOS GOLA TIRAS PESCOCO	uso e consumo
10150	TINTA ESMALTE LIQUIDA BASE OLEO IMPERMEAVEL BICOMPONENTE COR PLATINA ACAB BRILHANTE LATA 3,6L	uso e consumo
10151	BROCA HELICOIDAL MAT ACO RAPIDO DIAM 5MM COMP 65MM HASTE CILINDRICA NORMA DIN 338	uso e consumo
10152	BROCA HELICOIDAL MAT ACO RAPIDO DIAM 3MM COMP 61MM HASTE CILINDRICA NORMA DIN 338	uso e consumo
10153	LANTERNA PORTATIL LED ALIMENT BATERIA RECARREGAVEL	uso e consumo
10154	REBITE FORM CABECA COMUM DIM 4,8X25MM MAT/ACAB AC INOX PASSIVADO	uso e consumo
10156	CORANTE P/TINTA BASE AGUA COR PT EMB 50ML	uso e consumo
10157	ROLO PINTURA MAT ESPUMA POLIESTER LARG 9CM C/CABO	uso e consumo
10158	ESPATULA MANUAL PERFIL LAMINA RETANG MAT ACO INOX C/CABO DIM 100X207MM	uso e consumo
10159	CARRETEL NYLON P/ROCADEIRA APLIC STIHL MODELO FS160	uso e consumo
10160	TINTA ESMALTE LIQUIDA BASE OLEO IMPERMEAVEL BICOMPONENTE COR ALUMINIO ACAB BRILHANTE LATA 3,6L	uso e consumo
10161	TINTA ESMALTE LIQUIDA BASE OLEO IMPERMEAVEL BICOMPONENTE COR PT ACAB BRILHANTE LATA 3,6L	uso e consumo
10162	BROXA RETANG DIM BASE 18X8CM MAT BASE/CABO PLAST MAT CERDAS SINTETICAS COMP CERDAS 6CM	uso e consumo
10163	TINTA ACRILICA LIQUIDA BASE AGUA BICOMPONENTE COR BR ACAB SEMI ACETINADO LATA 18L	uso e consumo
10164	HASTE P/TELHA ROSCA/DIAM 1/4UNC COMP 40CM MAT/ACAB SAE 4135	uso e consumo
10165	ROLO PINTURA MAT LA CARNEIRO LARG 23CM S/CABO	uso e consumo
10166	SUPORTE P/ROLO PINTURA MAT METAL PUNHO PLASTICO VM 23CM	uso e consumo
10167	JUNTA GRAFITE P/FLANGE LIMITE PRESS 150LBS DIM 1X1M ESP 3,2MM FACE PLANA	uso e consumo
10168	FITA ADESIVA CREPE COR BEGE LARG 24MM COMP 50M	uso e consumo
10173	CARGA ARGONIO P/SOLDA 01,0M/07LT - ONU 1006 CLASSE 2.2	uso e consumo
10174	PARAFUSO CAB SEXTAV NORM ASME B18.2.1 ROSCA/DIAM UNC-3/4POL PASSO 10MM COMP 4POL MAT AC ZINCADO GRAU 2 ROSCA INTEIRA	uso e consumo
10175	ARRUELA LISA FORMATO CIRCULAR NORMA DIN 994 DIAM NOM 3/4POL DIM EXT 44MM ESP 3MM MAT ACO CARB	uso e consumo
10176	PORCA TIPO SEXTAV NORM DIN 934 ROSCA/DIAM NOM UNC-3/4POL PASSO 10MM ALT 16,89MM MAT AC CARB ACAB ZINCADO GRAU 8	uso e consumo
10178	LIXA DESIG METAL FERROSO FORM/DIM FOLHA 27,5X22,5CM TIPO ABRASIVO OXIDO ALUM GRANUL 220	uso e consumo
10179	LIXA DESIG METAL FERROSO FORM/DIM FOLHA 27,5X22,5CM TIPO ABRASIVO OXIDO ALUM GRANUL 150	uso e consumo
10180	BUCHA REDUCAO MAT GALV DIAM NOM/ROSCA 1 1/2X1 1/4BSP	uso e consumo
10181	ADESIVO SELANTE MONOCOMPONENTE COR VM TUBO SILICONE 280GR	uso e consumo
10182	VEDACAO P/VALVULA ESCOAMENTO DIAM 1 1/2POL MAT PTFE	uso e consumo
10183	CONTATO CJ P/CONTATOR APLIC SIEMENS 3TF46 3TY7 460-0A	uso e consumo
10184	LUMINARIA MOD POSTE TIPO LED POT 100W BASE ENCAIXE LUM PUBLICA MAT CONSTR METAL FOSCO FORM RETANG DIM 506X212X106,3MM	uso e consumo
10185	ESPIGAO MACHO MAT LATAO DIAM 1 1/2X1 1/2POL COMP 110MM	uso e consumo
10186	FITA ISOLANTE ELETRICA TENS ISOL 750V TIPO ADESIVA MAT PVC LARG 8MM ESP 0,13MM COMP 20M COR PT	uso e consumo
10187	TERMORESISTENCIA ISOL SIMPLES ELEM SENS PT 100 CLASSE A MED 3 SENSOR P MAT BAINHA INOX DIM BAINH 6X200MM	uso e consumo
10194	INTERRUPTOR TIPO SIMPLES 1 TECLA MONT EMBUTIR CORR NOM 25A TENS 100/250V	uso e consumo
10195	SOQUETE P/LAMP FLUOR MAT PLAST FORM RETANG DIM 4X4X7CM BASE E27 2P CONT METAL TENS BIVOLT POT 380-650W CORR 3A COR BR	uso e consumo
10196	CABO FLEXIVEL 750V – 150,00MM PT	uso e consumo
10197	CABO FLEXIVEL 750V – 120,00MM PT	uso e consumo
1075	MASCARA CIRURGICA MAT TNT TRIPLA E COR AZ CLIPE NASAL FLEXIVEL FIXACAO ELASTICOS LATERAL SIMPLES	uso e consumo
14.02	LUBRIFICAÇÃO, LIMPEZA, LUSTRAÇÃO, REVISÃO, CARGA E RECARGA, CONSERTO, RESTAURAÇÃO, BLINDAGEM, MANUTENÇÃO E CONSERVAÇÃO D	uso e consumo
17.191	SERVICO DE CONTABILIDADE	uso e consumo
370	OLEO TERMICO LUBRIFICANTE APEESENTACAO TAMBOR 200LT SHELL HEAT	uso e consumo
374	ACUCAR REFINADO 1KG	uso e consumo
378	CAFE PO EMB 500G	uso e consumo
379	COPO DESCARTAVEL MAT PLASTICO 180ML COR BR CX 2500UN	uso e consumo
380	MARGARINA COM SAL 500 G	uso e consumo
382	AGUA SANITARIA 5L	uso e consumo
384	DESINFETANTE 5L	uso e consumo
385	DETERGENTE NEUTRO LIQUIDO USO GERAL EMB 5L	uso e consumo
386	ESPONJA DUPLA FACE (NÃO UTILIZAR)	uso e consumo
388	LEITE INTEGRAL 1L	uso e consumo
389	ODORIZADOR AMBIENTE LAVANDA 400ML	uso e consumo
390	PANO CHAO C/6	uso e consumo
392	PAPEL ALUMINIO 0,30X7,5M	uso e consumo
393	PAPEL HIGIENICO FOLHA SIMPLES 64X30M	uso e consumo
397	SABAO PO 1KG	uso e consumo
398	SABONETE LIQUIDO 5L	uso e consumo
399	SACO LIXO 100L PRETO	uso e consumo
401	SACO LIXO 60L PRETO	uso e consumo
405	MARGARINA CREMOSA COM SAL EMB 500G QUALY	uso e consumo
406	COPO DESCARTAVEL MAT PP 300ML COR BR CX 1000UN	uso e consumo
407	CARTUCHO P/IMPRESSORA HP CF217A BLACK	uso e consumo
409	DESENGRAXANTE PASTOSO APRESENTACAO 25KG PINHEIRO	uso e consumo
410	GARFO MESA MAT AI CABO S/ACABAMENTO	uso e consumo
411	FACA MESA MAT AI CABO S/ACABAMENTO	uso e consumo
412	COLHER MESA MAT INOX CABO S/ACABAMENTO	uso e consumo
413	RETALHO PANO P/LIMPEZA COLORIDO	uso e consumo
414	TINTA P/DEMARCACAO SOLO BASE EPOXI COR AM OURO EMB 3,6L ACABAM BRILHANTE	uso e consumo
415	TINTA P/DEMARCACAO SOLO BASE EPOXI COR AZ FRANCA EMB 3,6L ACABAM FOSCO	uso e consumo
416	TINTA P/DEMARCACAO SOLO BASE EPOXI COR PT EMB 3,6L ACABAM FOSCO	uso e consumo
417	TINTA P/DEMARCACAO SOLO BASE EPOXI COR VD FOLHA EMB 3,6L ACABAM FOSCO	uso e consumo
421	ESTILETE RETRATIL CORPO LARGO COR AM/PT MAT CORPO PLAST MAT LAMINA AC TRAVA AUTOMATICA	uso e consumo
422	AVENTAL SEGURANCA MAT PVC COR PT/LJ DIM 1X1,20M FORRO PVC CA28303	uso e consumo
425	AVENTAL SEGURANCA MAT RASPS COR CZ DIM 1X1,20M FORRO PVC CA10511	uso e consumo
430	BOTINA SEG MAT COURO HIDROFUGADO COR PT SOLADO PU BIDEN PT NUM 40 CANO CURTO BICO ACO FECHAM ELASTICO LATERAL CA28030	uso e consumo
439	BOTINA SEG MAT COURO HIDROFUGADO COR PT SOLADO PU BIDEN PT NUM 42 CANO CURTO BICO ACO FECHAM ELASTICO LATERAL CA28511	uso e consumo
440	BOTINA SEG MAT COURO HIDROFUGADO COR PT SOLADO PU BIDEN PT NUM 43 CANO CURTO BICO ACO FECHAM ELASTICO LATERAL CA28511	uso e consumo
442	BOTINA SEG MAT COURO HIDROFUGADO COR PT SOLADO PU BIDEN PT NUM 38 CANO CURTO BICO ACO FECHAM ELASTICO LATERAL CA28474	uso e consumo
445	BOTINA SEG MAT COURO HIDROFUGADO COR PT SOLADO PU BIDEN PT NUM 41 CANO CURTO BICO ACO FECHAM ELASTICO LATERAL CA28474	uso e consumo
450	BOTINA SEG MAT COURO HIDROFUGADO COR PT SOLADO PU BIDEN PT NUM 39 CANO CURTO BICO ACO FECHAM ELASTICO LATERAL CA28030	uso e consumo
458	BOTINA SEG MAT COURO HIDROFUGADO COR PT SOLADO PU BIDEN PT NUM 40 CANO CURTO BICO PLAST FECHAM ELASTICO LATERAL CA28030	uso e consumo
459	BOTINA SEG MAT COURO HIDROFUGADO COR PT SOLADO PU BIDEN PT NUM 41 CANO CURTO BICO PLAST FECHAM ELASTICO LATERAL CA28030	uso e consumo
465	CAPA PROT CHUVA MAT PVC CAPUZ PVC MANGA LONGA TAM G COR M FORRO PVC FECHAMENTO BOTAO CA36662	uso e consumo
466	CAPA PROT CHUVA MAT PVC CAPUZ PVC MANGA LONGA TAM GG COR M FORRO PVC FECHAMENTO BOTAO CA36662	uso e consumo
467	CAPA PROT CHUVA MAT PVC CAPUZ PVC MANGA LONGA TAM XG COR M FORRO PVC FECHAMENTO BOTAO CA36662	uso e consumo
473	FILTRO P/MASCARA RESPIRADORA APLICACAO VO/GA CA4115 6003 3M	uso e consumo
474	FILTRO P/MASCARA RESPIRADORA APLICACAO PO CA4115 5N11 3M	uso e consumo
476	CINTA LOMBAR SEG MAT ELASTICO TAM M COR PT SUSPENSORIO REGULAVEL FECHO VELCRO	uso e consumo
477	CINTA LOMBAR SEG MAT ELASTICO TAM G COR PT SUSPENSORIO REGULAVEL FECHO VELCRO	uso e consumo
506	BOTINA SEG ELET COURO HIDRO PT FIX CADARCO NUM 40 PALM NORMAL SOLADO PU BIDEN TALONEIRA PT BIQ PLAST TENSAO 500V CA34549	uso e consumo
511	BOTINA SEG ELET COURO HIDRO PT FIX CADARCO NUM 38 PALM NORMAL SOLADO PU BIDEN TALONEIRA PT BIQ PLAST TENSAO 500V CA26446	uso e consumo
527	CINTO SEG PAREQUEDISTA MAT PES COR LJ LARG 45MM TALABARTE DUPLO SUSPENSAO ENGATE RAPIDO ACO GALVANIZADO CA36376	uso e consumo
535	COLETE SINALIZACAO TIPO JAQUETA MAT PES COR AM C/ZIPER/BOLSO TAM G	uso e consumo
536	COLETE SINALIZACAO TIPO JAQUETA MAT PES COR AM C/ZIPER/BOLSO TAM GG	uso e consumo
537	COLETE SINALIZACAO TIPO JAQUETA MAT PES COR AM C/ZIPER/BOLSO TAM XG	uso e consumo
539	CREME PROTECAO P/MAOS CLASSIF GRUPO 3 BASE AGUA/OLEO/PINTURA RESISTENTE EMB BISNAGA 100G CA43802	uso e consumo
540	CREME PROTECAO P/MAOS PROTECAO SOLAR/REPELENTE INSETO EMB BISNAGA 100G	uso e consumo
546	LUVA SEG MAT RASPA COR CZ PUNHO RASPA TAM 9,5 COMP 46CM CA10677	uso e consumo
551	LUVA SEG MAT VAQUETA PETROLEIRA COR CZ PUNHO VAQUETA PETROLEIRA TAM 9,5 C/REFORCO CA30504	uso e consumo
552	LUVA SEG MAT VAQUETA PETROLEIRA COR CZ PUNHO VAQUETA PETROLEIRA TAM 7 C/REFORCO CA26088	uso e consumo
556	LUVA SEG MAT LATEX COR AZ PUNHO LATEX TAM 8 COMP 30CM ACAB FORRADO CA10695	uso e consumo
557	LUVA SEG MAT LATEX COR AZ PUNHO LATEX TAM 9 COMP 30CM ACAB FORRADO CA10695	uso e consumo
558	LUVA SEG MAT LATEX COR AZ PUNHO LATEX TAM 10 COMP 30CM ACAB FORRADO CA10695	uso e consumo
560	LUVA SEG MAT LATEX COR AM PUNHO LATEX TAM 9 COMP 30CM ACAB FORRADO CA10695	uso e consumo
575	LUVA SEG MAT POLIAMIDA COR PT PUNHO POLIAMIDA TAM 9 ACAB MULTITATO CA30916	uso e consumo
576	LUVA SEG MAT POLIAMIDA COR PT PUNHO POLIAMIDA TAM 10 ACAB MULTITATO CA30916	uso e consumo
577	LUVA SEG MAT POLIAMIDA COR PT PUNHO POLIAMIDA TAM 8 ACAB MULTITATO CA21260	uso e consumo
580	LUVA SEG MAT PVC COR VD PUNHO PVC TAM 10 COMP 46CM ACAB ASPERO CA30514	uso e consumo
592	CALCA PROF BRIM COR AZ ROYAL TAM M FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	uso e consumo
593	CALCA PROF BRIM COR AZ ROYAL TAM G FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	uso e consumo
594	CALCA PROF BRIM COR AZ ROYAL TAM GG FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	uso e consumo
595	CALCA PROF BRIM COR AZ ROYAL TAM G1 FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	uso e consumo
596	CALCA PROF BRIM COR AZ ROYAL TAM G2 FECHAMENTO ELASTICO 2 BOLSOS DIANT/1 BOLSO TRASEIRO	uso e consumo
597	CAMISA BRIM GOLA ITALIANA MANGA LONGA ELAST PUNHO TECIDO MALHA FRIA COR AZ ROYAL TAM P 1 BOLSO SUP LADO ESQ	uso e consumo
598	CAMISA BRIM GOLA ITALIANA MANGA LONGA ELAST PUNHO TECIDO MALHA FRIA COR AZ ROYAL TAM M 1 BOLSO SUP LADO ESQ	uso e consumo
599	CAMISA BRIM GOLA ITALIANA MANGA LONGA ELAST PUNHO TECIDO MALHA FRIA COR AZ ROYAL TAM G 1 BOLSO SUP LADO ESQ	uso e consumo
600	CAMISA BRIM GOLA ITALIANA MANGA LONGA ELAST PUNHO TECIDO MALHA FRIA COR AZ ROYAL TAM GG 1 BOLSO SUP LADO ESQ	uso e consumo
601	CAMISA BRIM GOLA ITALIANA MANGA LONGA ELAST PUNHO TECIDO MALHA FRIA COR AZ ROYAL TAM G1 1 BOLSO SUP LADO ESQ	uso e consumo
602	CAMISA BRIM GOLA ITALIANA MANGA LONGA ELAST PUNHO TECIDO MALHA FRIA COR AZ ROYAL TAM G2 1 BOLSO SUP LADO ESQ	uso e consumo
604	CAMISETA PROF UNISSEX GOLA CARECA MANGA CURTA TECIDO MALHA FRIA COR AZ ROYAL TAM M	uso e consumo
605	CAMISETA PROF UNISSEX GOLA CARECA MANGA CURTA TECIDO MALHA FRIA COR AZ ROYAL TAM G	uso e consumo
621	JAQUETA MATELATE COR AZ MARINHO TAM P C/FORRO FECHAMENTO ZIPER C/ELASTICO PUNHO C/2 BOLSOS	uso e consumo
622	JAQUETA MATELATE COR AZ MARINHO TAM M C/FORRO FECHAMENTO ZIPER C/ELASTICO PUNHO C/2 BOLSOS	uso e consumo
623	JAQUETA MATELATE COR AZ MARINHO TAM G C/FORRO FECHAMENTO ZIPER C/ELASTICO PUNHO C/2 BOLSOS	uso e consumo
624	JAQUETA MATELATE COR AZ MARINHO TAM GG C/FORRO FECHAMENTO ZIPER C/ELASTICO PUNHO C/2 BOLSOS	uso e consumo
625	JAQUETA MATELATE COR AZ MARINHO TAM G1 C/FORRO FECHAMENTO ZIPER C/ELASTICO PUNHO C/2 BOLSOS	uso e consumo
626	JAQUETA MATELATE COR AZ MARINHO TAM G2 C/FORRO FECHAMENTO ZIPER C/ELASTICO PUNHO C/2 BOLSOS	uso e consumo
636	PROTETOR AUDITIVO/AURICULAR CONCHA MAT PLASTIVO COR PT C/HASTE TAM UNICO INDICE ATENUACAO 16DB CA27202	uso e consumo
643	PROTETOR AUDITIVO/AURICULAR PLUG MAT SILICONE COR LJ C/CORDAO TAM G INDICE ATENUACAO 19DB CA5745	uso e consumo
647	PROTETOR AUDITIVO/AURICULAR PLUG MAT SILICONE COR LJ C/CORDAO TAM G INDICE ATENUACAO 15DB CA19578	uso e consumo
697	SAPATO SEG ELET COURO HIDROF PT TALONEIRA PT NUM 41 SOLADO PU BIDEN CADARCO PALM NORMAL BIQ COMPOS TENSAO 500V CA285138	uso e consumo
698	SAPATO SEG ELET COURO HIDROF PT TALONEIRA PT NUM 42 SOLADO PU BIDEN CADARCO PALM NORMAL BIQ COMPOS TENSAO 500V CA285138	uso e consumo
706	OCULOS SEG PANDA LENTE PC TRATAM ANTIRISCO MOD CURVA INC ARMACAO PC INC FIXACAO OCULOS HASTE FIXA TAM ARO M CA10344	uso e consumo
707	OCULOS SEG JAGUAR LENTE PC TRATAM ANTIRISCO MOD CURVA INC ARMACAO PC INC FIXACAO OCULOS HASTE FIXA TAM ARO M CA10346	uso e consumo
722	MASCARA RESPIRADORA DESCARTAVEL MAT PFF2 S/FILTRO APLICACAO PO/FUMOS/GASES TAM G S/VALVULA EXALACAO CA39235	uso e consumo
734	LEITE INTEGRAL EMB 1L	uso e consumo
735	MASCARA RESPIRADORA MOD 3M 6800 MAT BORRAC/SILICONE 2 FILTROS GASES ACIDOS/VAPORES ORGANICOS VO/GA TAM UNICO CA7298	uso e consumo
738	ACESSORIO MASCARA/RESPIRADOR RETENTOR 501 FILTRO MASCARA FACIAL INTEIRA 6800 501 3M	uso e consumo
748	AGUA MINERAL SEM GAS GALAO 20L C/TAMPA	uso e consumo
750	ALCOOL ETILICO FUNCAO LIMPEZA E DESINFECCAO INPM 70° ESTADO FISICO GEL C/DOSADOR EMB 500ML	uso e consumo
900000	PARAFUSOS ARRUELAS PORCAS	uso e consumo
900001	BALANCA 150 KG	uso e consumo
900002	TALHA 600 KG	uso e consumo
900003	UNIDADE DE RESFRIAMENTO MACALOR	uso e consumo
900004	ROLAMENTOS PEQUENOS	uso e consumo
900005	PAINEL ELETRICO PEQUENO	uso e consumo
900006	MOTOR 15 CV	uso e consumo
900007	CAIXA PRETA ORGANIZADORA	uso e consumo
900008	BOMBA DE AGUA SUBMERSA	uso e consumo
900009	CONTATORAS DIVERSAS	uso e consumo
900010	GRAXEIRAS PEQUENAS	uso e consumo
900011	PAINEL ELETRICO MEDIO MONTADO	uso e consumo
900012	CONTATORAS SIEMENS	uso e consumo
900013	BOBINA MEDIA BANCO CAPACITOR	uso e consumo
900014	PRATELEIRA ARMARIO ALMOXARIFADO	uso e consumo
900015	CILINDRO GRANDE SOLDA	uso e consumo
900017	ELETROTUBO 2 POLEGADAS	uso e consumo
900018	ARMARIO ESCRITORIO 4 PORTAS	uso e consumo
900019	ARMARIO ESCRITORIO 3 PORTAS	uso e consumo
900020	ARMARIO ESCRITORIO 2 PORTAS	uso e consumo
900021	ARMARIO PORQUINHO	uso e consumo
900022	CADEIRA MARROM COURO	uso e consumo
A0890	ADITIVO REOLOGICO - VISCOGEL X7 (LAVIOSA)- I	uso e consumo
GC0013	ONU1075, GAS LIQ - P 13	uso e consumo
GC0020	ONU1075, GAS LIQ - P 20	uso e consumo
MCP26	PALLET 100 X 120 MM	uso e consumo
