Rótulos de Linha	cgc_cpf	fantasia	cod_natoperacao	codigo	descricao	# naturezas	Máx. de dt_emissao
300	29.309.127/0001-79	AMIL ASSISTENCIA MEDICA	1933-007	CONV.MED	SERVIÇO DE CONVENIO MEDICO	1	20/03/2024 00:00
300	29.583.773/0001-20	IDL GROUP COMERCIO	1933-007	SERV.EMP	SERVICO DE MANUTENCAO EMPILHADEIRA	1	28/03/2024 00:00
300	29.694.147/0001-00	LEONARDO BALBINO 48295260847	1933-007	24.01	SERVIÇOS DE CHAVEIROS, CONFECÇÃO DE CARI	1	10/04/2024 00:00
300	32.668.810/0001-07	MECANICA DIESEL 55	1933-007	MAN.VEI	SERVICO DE MANUTENCAO - VEICULOS	1	29/04/2024 00:00
300	35.358.721/0001-52	METAL IMPLEMENTOS RODOVIARIOS	1933-007	MAN.VEI	SERVICO DE MANUTENCAO - VEICULOS	1	25/04/2024 00:00
300	35.602.295/0001-50	LONA EXPRESS	1933-007	MAN.VEI	SERVICO DE MANUTENCAO - VEICULOS	1	20/03/2024 00:00
300	37.496.377/0001-93	VALUE CAPITAL ADVISORS	1933-003	001029	28.01-SERVIÇOS DE AVALIAÇÃO DE BENS E SE	1	17/04/2024 00:00
300	37.496.377/0001-93	VALUE CAPITAL ADVISORS	1933-003	17.01	SERVICO DE ASSESSORIA OU CONSULTORIA DE	1	01/02/2024 00:00
300	37.496.377/0001-93	VALUE CAPITAL ADVISORS	1933-003	SERV.01	SERVIÇO DE CONSULTORIA	1	01/03/2024 00:00
300	40.281.347/0001-74	AUTOTRAC	2933-007	11.02	SERVICO DE VIGILÂNCIA, SEGURANÇA OU MONI	1	01/04/2024 00:00
300	40.625.524/0001-92	MARIA ROSANI	2933-007	001191	7.10 - SERVIÇOS DE LIMPEZA, MANUTENÇÃO/C	1	22/03/2024 00:00
300	40.625.524/0001-92	MARIA ROSANI	2933-007	17.02	SERVICO DE DATILOGRAFIA, DIGITAÇÃO, ESTE	1	16/04/2024 00:00
300	41.191.928/0001-88	TEGRAL - TERCEIRIZACAO DE MAO DE OB	1933-009	11.02	SERVICO DE VIGILÂNCIA, SEGURANÇA OU MONI	1	11/04/2024 00:00
300	43.394.392/0001-23	MIYA SERVICE AND BUSSINESS	1933-007	6911701	SERVICOS ADVOCATICIOS	1	03/04/2024 00:00
300	43.766.587/0001-57	FABRICIO GOMES RAUEN	1933-007	1013084	SERVICOS DE COMPOSICAO GRAFICA, INCLUSIV	1	29/01/2024 00:00
300	46.249.711/0001-03	ABCTRAC ASSISTENCIA TECNICA AUTORIZ	1933-007	MAN.VEI	SERVICO DE MANUTENCAO - VEICULOS	1	10/04/2024 00:00
300	47.510.884/0001-98	MBM SERVICES LTDA	1933-007	01.05	SERVIÇO DE LICENCIAMENTO OU CESSÃO DE DI	1	07/03/2024 00:00
300	47.510.884/0001-98	MBM SERVICES LTDA	1933-007	SIS.03	SERVIÇO MBM	1	04/04/2024 00:00
300	52.252.057/0001-81	CIA TRUCKS MECANICA	1933-007	MAN.VEI	SERVICO DE MANUTENCAO - VEICULOS	1	24/04/2024 00:00
300	57.002.438/0001-26	LOPES ADVOCACIA	1933-003	6911701	SERVICOS ADVOCATICIOS	1	04/03/2024 00:00
300	58.732.538/0001-70	QUALICAR RETIFICA DE MOTORES LTDA	1933-007	SERV.EMP	SERVICO DE MANUTENCAO EMPILHADEIRA	1	18/03/2024 00:00
300	59.583.500/0001-46	CASSAB ADVOGADOS ASSOCIADOS	1933-003	6911701	SERVICOS ADVOCATICIOS	1	25/03/2024 00:00
300	61.695.227/0001-93	ENEL	1252-003	SERV.ENE	SERVICO DE ENERGIA ELETRICA	1	18/04/2024 00:00
300	67.955.435/0001-60	DANFER COMERCIO E EQUIPAMENTOS LTDA	1933-007	SERV.EMP	SERVICO DE MANUTENCAO EMPILHADEIRA	1	27/02/2024 00:00
300	69.039.154/0001-93	AMA	1933-001	001191	7.10 - SERVIÇOS DE LIMPEZA, MANUTENÇÃO/C	1	05/04/2024 00:00
300	73.108.417/0001-46	TRASULIX	1933-011	7.09	SERVICO DE VARRIÇÃO, COLETA, REMOÇÃO, IN	1	01/03/2024 00:00
300	73.108.417/0001-46	TRASULIX	1933-011	SERV.REC	SERVIÇO DE VARRICAO/RECICLAGEM/COLETA	1	02/05/2024 00:00
300	74.634.536/0001-03	INFORHELP INFORMATICA LTDA	1933-007	DMP.01	SERVIÇO DE RELOGIO DE PONTO	1	26/04/2024 00:00
400	06.326.025/0002-47	BUONNY PROJETOS E SERVICOS DE RISCO	2933-003	11.02	SERVICO DE VIGILÂNCIA, SEGURANÇA OU MONI	1	02/04/2024 00:00
400	07.272.054/0001-55	TELIUM NETWORKS	2933-007	SER.NET	SERVIÇO DE INTERNET	1	02/05/2024 00:00
400	07.272.054/0001-55	TELIUM NETWORKS	2933-009	SER.NET	SERVIÇO DE INTERNET	1	02/05/2024 00:00
400	28.644.310/0001-68	BPS TECNOLOGIA DE SEGURANCA LTDA.	2933-002	11.02	SERVICO DE VIGILÂNCIA, SEGURANÇA OU MONI	1	06/03/2024 00:00
400	28.644.310/0001-68	BPS TECNOLOGIA DE SEGURANCA LTDA.	2933-003	11.02	SERVICO DE VIGILÂNCIA, SEGURANÇA OU MONI	1	04/04/2024 00:00
400	35.149.960/0001-00	G E SERVICOS AMBIENTAIS	1933-007	7.01	SERVICO DE  ENGENHARIA, AGRONOMIA, AGRIM	1	19/03/2024 00:00
400	47.510.884/0001-98	MBM SERVICES LTDA	2933-007	01.05	SERVIÇO DE LICENCIAMENTO OU CESSÃO DE DI	1	07/03/2024 00:00
400	47.510.884/0001-98	MBM SERVICES LTDA	2933-007	SIS.03	SERVIÇO MBM	1	04/04/2024 00:00
500	07.282.377/0081-04	ENERGISA	1252-003	SERV.ENE	SERVICO DE ENERGIA ELETRICA	1	03/01/2024 00:00
500	11.859.015/0001-26	FVP CONSULTORIA EMPRESARIAL	1933-003	17.20	SERVICO DE CONSULTORIA E ASSESSORIA ECON	1	02/04/2024 00:00
500	11.859.015/0001-26	FVP CONSULTORIA EMPRESARIAL	1933-003	SERV.01	SERVIÇO DE CONSULTORIA	1	02/05/2024 00:00
500	21.131.513/0001-01	ALL LIVES GESTAO OCUPACIONAL	2933-007	4.02	SERVICO ANÁLISES CLÍNICAS, PATOLOGIA, EL	1	01/02/2024 00:00
500	21.131.513/0001-01	ALL LIVES GESTAO OCUPACIONAL	2933-009	4.02	SERVICO ANÁLISES CLÍNICAS, PATOLOGIA, EL	1	01/03/2024 00:00
500	29.309.127/0147-14	AMIL ASSISTENCIA MEDICA INTERNACION	1933-007	4.22	SERVICO DE PLANOS DE MEDICINA DE GRUPO O	1	22/04/2024 00:00
500	29.309.127/0147-14	AMIL ASSISTENCIA MEDICA INTERNACION	1933-007	CONV.MED	SERVIÇO DE CONVENIO MEDICO	1	20/03/2024 00:00
500	35.149.960/0001-00	G E SERVICOS AMBIENTAIS	1933-007	7.01	SERVICO DE  ENGENHARIA, AGRONOMIA, AGRIM	1	20/03/2024 00:00
500	47.510.884/0001-98	MBM SERVICES LTDA	2933-007	01.05	SERVIÇO DE LICENCIAMENTO OU CESSÃO DE DI	1	07/03/2024 00:00
500	47.510.884/0001-98	MBM SERVICES LTDA	2933-007	SIS.03	SERVIÇO MBM	1	04/04/2024 00:00
500	62.173.620/0093-06	SERASA S.A.	2933-003	17.001	SERVICO DE CONSULTORIA EM GESTAO EMPRESA	1	01/03/2024 00:00
500	62.173.620/0093-06	SERASA S.A.	2933-007	17.001	SERVICO DE CONSULTORIA EM GESTAO EMPRESA	1	01/03/2024 00:00
501	04.584.297/0001-30	DECIO CARVALHO ASSESSORIA DOCUMENTA	1933-010	17.01	SERVICOS DE ASSESSORIA OU CONSULTORIA DE	1	25/03/2024 00:00
501	15.419.771/0001-95	KELLY CRISTINE RODRIGUES SERVICOS E	1933-007	17.02	SERVICO DE DATILOGRAFIA, DIGITAÇÃO, ESTE	1	14/02/2024 00:00
501	21.131.513/0001-01	ALL LIVES GESTAO OCUPACIONAL	1933-007	4.02	SERVICO ANÁLISES CLÍNICAS, PATOLOGIA, EL	1	10/04/2024 00:00
501	29.309.127/0195-11	AMIL ASSISTENCIA MEDICA INTERNACION	1933-007	4.22	SERVICO DE PLANOS DE MEDICINA DE GRUPO O	1	22/04/2024 00:00
501	29.309.127/0195-11	AMIL ASSISTENCIA MEDICA INTERNACION	1933-007	CONV.MED	SERVIÇO DE CONVENIO MEDICO	1	20/03/2024 00:00
600	03.766.415/0001-69	SERVICO SOCIAL DA INDUSTRIA SESI	1933-007	7891	SERVICOS DE GINASTICA LABORAL E FISIOTER	1	23/04/2024 00:00
600	04.779.764/0001-88	BB ESPORTE E LAZER LTDA	1933-025	156	8.02 SERVICO DE INSTRUÇÃO, TREINAMENTO,	1	08/03/2024 00:00
600	04.951.802/0001-38	TORBRAS   SERVICOS DE TORNEARIA E C	1933-021	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	23/02/2024 00:00
600	05.775.574/0001-55	AC SERVICOS LTDA	1933-022	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	09/01/2024 00:00
600	06.330.582/0001-50	HARPIA DE FOGO	1933-026	156	8.02 SERVICO DE INSTRUÇÃO, TREINAMENTO,	1	26/02/2024 00:00
600	07.282.716/0001-78	HB SOLUCÕES LTDA EPP	2933-011	71.21	71.21-CONTROLE E TRATAMENTO DE EFLUENTES	1	11/04/2024 00:00
600	07.316.683/0001-30	ELETRO BOBINADORA SOARES	1933-025	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	23/04/2024 00:00
600	07.577.599/0005-01	MICROSIGA	2933-012	1.05	SERVIÇO DE LICENCIAMENTO OU CESSÃO DE DI	1	11/04/2024 00:00
600	07.577.599/0005-01	MICROSIGA	2933-012	5536	SERVIÇO DE LICENCIAMENTO OU CESSÃO DE DI	1	11/04/2024 00:00
600	07.943.638/0001-05	MD CARMO ASSESSORIA E CONSULTORIA	1933-025	169	17.01 SERVICO DE ASSESSORIA OU CONSULTOR	1	07/04/2024 00:00
600	10.461.302/0001-10	RH-PRO	2933-007	156	8.02 SERVICO DE INSTRUÇÃO, TREINAMENTO,	1	02/05/2024 00:00
600	12.157.411/0001-74	MEIRE JANE BRANDAO DE LIMA ME	1933-022	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	02/05/2024 00:00
600	13.460.144/0001-72	ERGOCENTRO	1933-021	7891	SERVICOS DE GINASTICA LABORAL E FISIOTER	1	02/05/2024 00:00
600	15.291.746/0001-79	H2O DA AMAZONIA CONSULTORIA QUIMICA	1933-021	174	17.09 SERVICO DE PERÍCIAS, LAUDOS, EXAME	1	10/04/2024 00:00
600	18.465.718/0001-19	MEDEIROS CONSULTORIA	1933-007	165	14.02 SERVICO DE ASSISTÊNCIA TÉCNICA.	1	19/04/2024 00:00
600	20.040.167/0001-93	CLINICA MULTIPROFISSIONAL DE SAUDE	1933-004	150	4.03 SERVICO DE HOSPITAIS, CLÍNICAS, LAB	1	10/04/2024 00:00
600	22.874.834/0001-69	SAIF CLIMATIZACAO SERVICOS E VENDAS	1933-021	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	01/04/2024 00:00
600	23.338.340/0001-22	INOVAMETA PESQUISA, DESENVOLVIMENTO	1933-025	156	8.02 SERVICO DE INSTRUÇÃO, TREINAMENTO,	1	15/02/2024 00:00
600	24.856.519/0001-34	HANUKKAH PUBLICIDADE E CAMISETARIA	1556-001	6969	CAMISA UNISSEX GOLA REDONDA MANG CURTA T	1	01/03/2024 00:00
600	24.856.519/0001-34	HANUKKAH PUBLICIDADE E CAMISETARIA	1556-001	6974	CALCA PROF BRIM COR AZ ROYAL TAM M FECHA	1	08/04/2024 00:00
600	24.856.519/0001-34	HANUKKAH PUBLICIDADE E CAMISETARIA	1556-001	8344	CALCA PROF BRIM PREDIAL ALG COR AZ ROYAL	1	08/04/2024 00:00
600	24.856.519/0001-34	HANUKKAH PUBLICIDADE E CAMISETARIA	1556-001	8364	JALECO BRIM PREDIAL FECH BOTAO TECIDO AL	1	08/04/2024 00:00
600	24.938.200/0001-58	BRUNO RAFAEL DOS SANTOS DE SOUZA	1933-025	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	04/01/2024 00:00
600	26.155.022/0001-14	AXPEM COM E SERV DE CALIBRACAO E MA	1933-025	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	20/02/2024 00:00
600	27.555.982/0001-34	HANOVER MUCEDA LEITE	1933-021	154	7.09 SERVICO DE VARRIÇÃO, COLETA, REMOÇÃ	1	02/04/2024 00:00
600	31.229.721/0001-00	VIACAO LEAO   SERVICOS DE TRANSPORT	1933-030	167	16.01 SERVICO DE TRANSPORTE ESPECIAL DE	1	25/04/2024 00:00
600	31.995.604/0001-49	ECOBIO COMERCIO E SERVICOS	1933-021	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	17/01/2024 00:00
600	32.928.184/0001-40	STRONG SECURITY	1933-021	160	11.02 SERVICO DE VIGILÂNCIA, SEGURANÇA O	1	19/04/2024 00:00
600	33.038.970/0001-35	SHOPPING DAS FERRAMENTAS HOME CENTE	1933-021	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	24/04/2024 00:00
600	33.082.307/0001-38	JANIEL GUILHERME MACIEL	1933-021	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	02/02/2024 00:00
600	34.907.159/0001-06	ODONT	2933-007	42.27	SERVICO PLANOS DE MEDICINA DE GRUPO OU I	1	03/05/2024 00:00
600	37.206.491/0001-31	SARBRAN ENGENHARIA	1933-025	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	24/02/2024 00:00
600	41.596.061/0001-40	ALBUQUERQUE ENGENHARIA E ARQUITETUR	1933-025	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	26/01/2024 00:00
600	43.924.284/0001-15	BRAGA COMPONENTES	1933-025	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	03/01/2024 00:00
600	47.510.884/0001-98	MBM SERVICES LTDA	2933-007	1.05	SERVIÇO DE LICENCIAMENTO OU CESSÃO DE DI	1	07/03/2024 00:00
600	49.407.099/0001-30	DUARTE PROMOTION	1933-022	163	13.05 SERVICO DE COMPOSIÇÃO GRÁFICA, INC	1	15/03/2024 00:00
600	51.179.635/0001-39	JEFFERSON LUIZ DOS REIS GOMES	1933-007	156	8.02 SERVICO DE INSTRUÇÃO, TREINAMENTO,	1	24/04/2024 00:00
600	52.576.222/0001-50	ISABELLE JESUS DE ALMEIDA	1933-007	178	24.01 SERVIÇOS DE CHAVEIROS, CONFECÇÃO D	1	22/02/2024 00:00
600	59.704.510/0023-06	TOLEDO	1933-021	164	14.01 SERVICO DE LUBRIFICAÇÃO, LIMPEZA,	1	02/05/2024 00:00
600	64.555.626/0001-47	AO3	2933-007	148	1.07 SERVICO DE SUPORTE TÉCNICO EM INFOR	1	04/04/2024 00:00
600	64.555.626/0001-47	AO3	2933-012	148	1.07 SERVICO DE SUPORTE TÉCNICO EM INFOR	1	04/04/2024 00:00
600	84.537.141/0001-38	SAMEL PLANO DE SAUDE LTDA	1933-023	151	4.22 SERVICO DE PLANOS DE MEDICINA DE GR	1	02/04/2024 00:00
